target_collaboration_id,name,batch_name,creator_open_id,end_time
7661970334190913301,Health_202606_02k-04k_01,Health_202606_02k-04k,z1nbMAAAAACOV4AEeERJl-yievH_HBssoS5QMexsdqfaVW9AMLdaKw,2101132799
7661970334190913301,Health_202606_02k-04k_01,Health_202606_02k-04k,jrRWgQAAAACOV4AEeERJl-yievH_HBssp4HOqKdX20N4c_Dpgul6RA,2101132799
7661970334190913301,Health_202606_02k-04k_01,Health_202606_02k-04k,zEcYuAAAAACOV4AEeERJl-yievH_HBssuo-9GkRuDwQh5NU3qr4OpQ,2101132799
7661970334190913301,Health_202606_02k-04k_01,Health_202606_02k-04k,nCZfegAAAACOV4AEeERJl-yievH_HBssQlfEfPMYWsomnZpw60EZsg,2101132799
7661970334190913301,Health_202606_02k-04k_01,Health_202606_02k-04k,8EEpCgAAAACOV4AEeERJl-yievH_HBssErXq8GgqDj41e4pQ8i0EtA,2101132799
7661970334190913301,Health_202606_02k-04k_01,Health_202606_02k-04k,TGpKuQAAAACOV4AEeERJl-yievH_HBssN5QYuvebmd-SCXzE6WkNeg,2101132799
7661970334190913301,Health_202606_02k-04k_01,Health_202606_02k-04k,JbDJ-gAAAACOV4AEeERJl-yievH_HBssd6Op0dRf2zo5ogGydmk5LQ,2101132799
7661970334190913301,Health_202606_02k-04k_01,Health_202606_02k-04k,fTcLggAAAACOV4AEeERJl-yievH_HBssZ2wBpc8HcDmwraLqFMPPpA,2101132799
7661970334190913301,Health_202606_02k-04k_01,Health_202606_02k-04k,uu21zwAAAACOV4AEeERJl-yievH_HBss-YuELNAGpXIYKjltn5Y3ag,2101132799
7661970334190913301,Health_202606_02k-04k_01,Health_202606_02k-04k,2qbkzQAAAACOV4AEeERJl-yievH_HBssCiO0JSHgLL8PwwpfxTJ1AA,2101132799
7661970334190913301,Health_202606_02k-04k_01,Health_202606_02k-04k,gczziwAAAACOV4AEeERJl-yievH_HBssTG5KukUpdG69ZLbPq_qZuA,2101132799
